ID;DateTime;Length;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;B13;B14;B15;B16;B17;B18;B19;B20;B21;B22;B23;B24;B25;B26;B27;B28;B29;B30;B31;Fingerprint
21;40:56.0;32743;0;0;4.01;4.12;4.06;4.06;4.06;4.06;4;4.03;4.05;4.03;4.02;4.06;4.05;4.04;4.08;4.03;4;4.02;4.12;4;0;0;1;1;1;1;1;1;01279b2a5261e281403d56bc5e96a8f83d
22;42:56.0;33496;0;0;4.02;4.11;4.04;4.02;4.03;4.05;4.01;4.04;4.06;4.05;4.03;4.06;4.03;4;4.02;4.01;4.01;4.03;4.11;4;0;0;1;1;1;1;1;1;0137c3238007309afc1b9c8cd9362c364d
23;44:55.0;34263;0;0;3.99;4.07;4.01;4;4.02;4.03;3.97;4.01;4.03;4.01;3.99;4.05;4.04;4.01;4.03;4.01;4.01;4.01;4.09;3.97;0;0;1;1;1;1;1;1;01f857d4d949fe9183a7af0aad84fd897b
24;46:55.0;35022;0;0;4;4.08;4.03;4.01;4.01;4.05;4.01;4.05;4.04;4.01;3.99;4.05;4.03;4.02;4.04;4.03;4.02;4.02;4.11;3.99;0;0;1;1;1;1;1;1;014549efac2d55352f954ae9fe6c4f576e
25;48:55.0;35776;0;0;4.01;4.05;3.99;4;4.01;4.03;4;4.06;4.08;4.05;4.02;4.08;4.07;4.06;4.07;4.04;4;4;4.11;4;0;0;1;1;1;1;1;1;01da2f90f2e424d60a2fa537785d067dc2
26;50:55.0;36542;0;0;4.01;4.09;4.03;4.01;4;3.99;3.96;4.03;4.02;4.01;4.02;4.07;4.04;4.02;4.03;4.03;4.01;4.02;4.11;3.99;0;0;1;1;1;1;1;1;0186db8d024b4c26cb3d34e739c58941b2
27;52:55.0;37302;0;0;4.01;4.08;4.04;4.05;4.06;4.09;4.02;4.06;4.04;4.01;3.99;4.05;4.02;4.02;4.05;4.04;4;4.02;4.1;4;0;0;1;1;1;1;1;1;01de2c55451d1854952d8e1c1feda102a8
28;54:55.0;38062;0;0;4;4.07;4.03;4.03;4.04;4.07;4;4.04;4.04;4.03;4.01;4.06;4.03;4.03;4.04;4.02;3.99;4;4.1;3.98;0;0;1;1;1;1;1;1;01d83bd03ba6e18ac13fa9a9a0db8cf2e5
29;56:55.0;38815;0;0;4;4.06;4.03;4.03;4.01;4.03;3.98;4.05;4.04;4.02;4.01;4.05;4.02;4.02;4.03;4.03;4;3.99;4.07;3.96;0;0;1;1;1;1;1;1;01a443351b46f854fd2bbe5e7655a1b236
30;58:55.0;39582;0;0;4.08;4.11;4.04;4.04;4.09;4.11;4.06;4.09;4.06;4.04;4.02;4.06;4.03;4.04;4.06;4.05;4.01;4.01;4.09;3.99;0;0;1;1;1;1;1;1;01f2e3d735ed559ffa931a8115564bde58
31;00:55.0;40341;0;0;3.99;4.06;4.01;4;4.01;4.04;4;4.04;4.03;4.01;3.98;4.03;4.02;4.02;4.06;4.02;3.99;4.01;4.09;3.99;0;0;1;1;1;1;1;1;01faa43a0edba767539d7b70548ec7702c
32;02:55.0;41095;0;0;4;4.05;3.99;4;4.01;4.07;4.02;4.05;4.03;4.03;4.01;4.05;4.03;4.01;4.03;4.04;4.04;4.04;4.11;3.99;0;0;1;1;1;1;1;1;01ce19f855d25554774b6b8ebb6ad87909
33;04:55.0;41861;0;0;4.02;4.08;4.03;4.04;4.05;4.06;4.01;4.07;4.05;4.04;4.01;4.05;4.04;4.02;4.03;3.98;3.99;4.02;4.11;4;0;0;1;1;1;1;1;1;018cddc1561cbd8087c3471068c57ea7e8
34;06:55.0;42621;0;0;4.01;4.06;4.01;4.02;4.03;4.07;4.01;4.04;4.03;4.04;4.01;4.04;4.02;4.02;4.07;4.04;4.05;4.02;4.09;3.98;0;0;1;1;1;1;1;1;016ac0a7224e284f3f1ab0061528609c59
35;08:55.0;43381;0;0;3.99;4.05;3.99;3.98;3.94;3.97;3.94;3.99;3.98;3.99;3.97;4.01;4;4.01;4.04;3.98;3.97;3.99;4.1;3.98;0;0;1;1;1;1;1;1;013f76040fcec123f159dd0f8125c5d751
36;26:16.0;746;0;3.28;4.64;4.69;4.49;4.79;4.49;4.6;4.63;4.54;4.66;4.63;4.57;4.61;4.58;4.62;4.62;4.6;4.57;4.67;4.68;4.6;4.58;0;1;1;1;1;1;1;01bf79c0864dfed0ece72f16ceb87a8a55
37;28:16.0;1413;0;3.38;4.66;4.62;4.59;4.69;4.6;4.65;4.64;4.58;4.67;4.64;4.67;4.68;4.57;4.62;4.67;4.6;4.61;4.62;4.74;4.57;4.58;0;1;1;1;1;1;1;013314351b1538c8ea710f7e1b05fc7ada
38;30:16.0;2073;0;3.32;4.7;4.63;4.58;4.64;4.64;4.68;4.74;4.63;4.65;4.62;4.58;4.69;4.61;4.66;4.7;4.63;4.63;4.69;4.74;4.6;4.59;0;1;1;1;1;1;1;0183b16709eb7b2553d12a7ce6befe7b21
39;32:16.0;2728;0;3.32;4.68;4.63;4.56;4.65;4.61;4.65;4.64;4.61;4.65;4.63;4.6;4.66;4.61;4.68;4.75;4.58;4.65;4.67;4.67;4.6;4.62;0;1;1;1;1;1;1;0172ebad0711957f901308ef31eca3e217
40;34:16.0;3388;0;3.37;4.72;4.71;4.61;4.67;4.66;4.65;4.63;4.58;4.63;4.62;4.59;4.66;4.6;4.64;4.66;4.55;4.6;4.66;4.69;4.61;4.58;0;1;1;1;1;1;1;01a25f6c9a6f7acb49bf928766ae745f7a
41;36:16.0;4053;0;3.31;4.65;4.68;4.6;4.67;4.67;4.63;4.61;4.6;4.64;4.68;4.63;4.69;4.6;4.66;4.69;4.56;4.57;4.65;4.68;4.59;4.57;0;1;1;1;1;1;1;01aa87affb2b4bcf790ea9a7e6f4822b2d
